node_id	sp_name
618	H_0637_Diptera_Phoridae
619	H_0639_Hymenoptera_Hymenoptera
620	H_0643_Diptera_Ephydridae
621	H_0644_Hemiptera_Aleyrodidae
622	H_0645_Diptera_Diptera
623	H_0646_Diptera_Diptera
624	H_0647_Diptera_Diptera
625	H_0648_Lepidoptera_Lepidoptera
626	H_0649_Diptera_Neoplatyura
627	H_0650_Diptera_Cecidomyiidae
628	H_0651_Hymenoptera_Formica
629	H_0652_Diptera_Cecidomyiidae
630	H_0654_Diptera_Cecidomyiidae
631	H_0655_Diptera_Cecidomyiidae
632	H_0656_Coleoptera_Coleoptera
633	H_0657_Diptera_Megaselia
634	H_0658_Diptera_Cecidomyiidae
635	H_0659_Diptera_Diptera
636	H_0660_Diptera_Mycetophilidae
637	H_0661_Collembola_Homidia
638	H_0662_Diptera_Diptera
639	H_0663_Lepidoptera_Pyralidae
640	H_0664_Diptera_Cecidomyiidae
641	H_0665_Diptera_Cecidomyiidae
642	H_0666_Diptera_Cecidomyiidae
643	H_0667_Diptera_Sciaridae
644	H_0668_Diptera_Chironomidae
645	H_0669_Hemiptera_Cicadellidae
646	H_0671_Diptera_Cecidomyiidae
647	H_0672_Diptera_Medetera
648	H_0673_Diptera_Cecidomyiidae
649	H_0674_Diptera_Dolichosciara
650	H_0675_Orthoptera_Tettigoniidae
651	H_0676_Orthoptera_Gryllidae
652	H_0677_Diptera_Diptera
653	H_0678_Hemiptera_Anoecia
654	H_0679_Diptera_Chaetosciara
655	H_0680_Diptera_Cecidomyiidae
656	H_0681_Diptera_Diptera
657	H_0682_Diptera_Diptera
658	H_0683_Hymenoptera_Formica
659	H_0684_Coleoptera_Coleoptera
660	H_0685_Hymenoptera_Ceraphronidae
661	H_0686_Hemiptera_Cicadellidae
662	H_0687_Lepidoptera_Lepidoptera
663	H_0688_Orthoptera_Loxoblemmus.equestris
664	H_0690_Hemiptera_Aphididae
665	H_0692_Diptera_Cecidomyiidae
666	H_0693_Diptera_Drosophilidae
667	H_0694_Diptera_Cecidomyiidae
668	H_0695_Lepidoptera_Lepidoptera
669	H_0697_Hemiptera_Anoecia
670	H_0698_Diptera_Lestodiplosis
671	H_0700_Diptera_Diptera
672	H_0701_Lepidoptera_Lepidoptera
673	H_0704_Hemiptera_Cacopsylla
674	H_0705_Diptera_Cecidomyiidae
675	H_0707_Diptera_Diptera
676	H_0708_Orthoptera_Trigonidium
677	H_0709_Coleoptera_Coleoptera
678	H_0710_Coleoptera_Coleoptera
679	H_0711_Coleoptera_Carabidae
680	H_0712_Diptera_Lestodiplosis
681	H_0713_Strepsiptera_Halictophagidae
682	H_0714_Coleoptera_Coleoptera
683	H_0715_Hymenoptera_Eulophidae
684	H_0716_Coleoptera_Coleoptera
685	H_0717_Hemiptera_Hemiptera
686	H_0718_Hymenoptera_Trichogramma
687	H_0719_Diptera_Tipulidae
688	H_0720_Hemiptera_Sogatella.furcifera
689	H_0721_Hemiptera_Aphididae
690	H_0722_Hymenoptera_Encarsia
691	H_0723_Orthoptera_Gryllidae
692	H_0724_Hemiptera_Cicadellidae
693	H_0725_Hymenoptera_Ceratobaeus
694	H_0726_Diptera_Diptera
695	H_0727_Hymenoptera_Athalia
696	H_0728_Lepidoptera_Lepidoptera
697	H_0729_Lepidoptera_Noctuidae
698	H_0730_Diptera_Cecidomyiidae
699	H_0731_Diptera_Mycetophilidae
700	H_0732_Coleoptera_Coleoptera
701	H_0733_Coleoptera_Coleoptera
